,endDate,msPlayed,userID,month,day
171,2023-05-15,3237154,0,2023-05,15
172,2023-05-16,5130885,2,2023-05,16
173,2023-05-17,3351331,0,2023-05,17
174,2023-05-17,7555401,2,2023-05,17
175,2023-05-18,9145796,2,2023-05,18
176,2023-05-18,1414861,0,2023-05,18
177,2023-05-18,6108331,1,2023-05,18
178,2023-05-19,9342817,2,2023-05,19
179,2023-05-19,5172023,0,2023-05,19
180,2023-05-19,6960139,1,2023-05,19
181,2023-05-20,3919603,0,2023-05,20
182,2023-05-20,12610953,2,2023-05,20
183,2023-05-20,6291742,1,2023-05,20
184,2023-05-21,3578481,1,2023-05,21
185,2023-05-21,427107,0,2023-05,21
186,2023-05-21,8601459,2,2023-05,21
187,2023-05-22,940849,2,2023-05,22
188,2023-05-22,4137132,1,2023-05,22
189,2023-05-22,4555147,0,2023-05,22
190,2023-05-23,7590045,2,2023-05,23
191,2023-05-23,3785243,1,2023-05,23
192,2023-05-23,2828334,0,2023-05,23
193,2023-05-24,11818301,2,2023-05,24
194,2023-05-24,7038558,1,2023-05,24
195,2023-05-25,2219073,1,2023-05,25
196,2023-05-25,3623275,2,2023-05,25
197,2023-05-26,6597689,1,2023-05,26
198,2023-05-26,8666426,2,2023-05,26
199,2023-05-26,1911792,0,2023-05,26
200,2023-05-27,9644752,1,2023-05,27
201,2023-05-27,2598067,0,2023-05,27
202,2023-05-27,7536298,2,2023-05,27
203,2023-05-28,12725443,1,2023-05,28
204,2023-05-28,6916855,2,2023-05,28
205,2023-05-28,3908029,0,2023-05,28
206,2023-05-29,4957755,1,2023-05,29
207,2023-05-29,5960133,2,2023-05,29
208,2023-05-29,651159,0,2023-05,29
209,2023-05-30,2848029,1,2023-05,30
210,2023-05-30,6264914,2,2023-05,30
211,2023-05-30,3634536,0,2023-05,30
212,2023-05-31,1467863,1,2023-05,31
213,2023-05-31,3614130,2,2023-05,31
214,2023-05-31,1661813,0,2023-05,31
215,2023-06-01,4134028,1,2023-06,1
216,2023-06-01,962067,2,2023-06,1
217,2023-06-02,2251129,1,2023-06,2
218,2023-06-02,1788614,0,2023-06,2
219,2023-06-02,7217030,2,2023-06,2
220,2023-06-03,2202331,0,2023-06,3
221,2023-06-03,1510480,2,2023-06,3
222,2023-06-03,4767317,1,2023-06,3
223,2023-06-04,1914549,0,2023-06,4
224,2023-06-04,22360,2,2023-06,4
225,2023-06-04,3061848,1,2023-06,4
226,2023-06-05,3557113,0,2023-06,5
227,2023-06-05,4366866,1,2023-06,5
228,2023-06-05,1752734,2,2023-06,5
229,2023-06-06,8276739,1,2023-06,6
230,2023-06-06,4778939,0,2023-06,6
231,2023-06-06,5747604,2,2023-06,6
232,2023-06-07,3462599,2,2023-06,7
233,2023-06-07,1648580,1,2023-06,7
234,2023-06-08,1354008,1,2023-06,8
235,2023-06-08,7993707,2,2023-06,8
236,2023-06-08,1180656,0,2023-06,8
237,2023-06-09,13067130,2,2023-06,9
238,2023-06-09,4774517,0,2023-06,9
239,2023-06-09,5421391,1,2023-06,9
240,2023-06-10,2680944,2,2023-06,10
241,2023-06-10,8445011,0,2023-06,10
242,2023-06-10,5405105,1,2023-06,10
243,2023-06-11,4541686,2,2023-06,11
244,2023-06-11,5953975,1,2023-06,11
245,2023-06-12,10474818,2,2023-06,12
246,2023-06-12,3694529,1,2023-06,12
247,2023-06-12,2918487,0,2023-06,12
248,2023-06-13,1804445,0,2023-06,13
249,2023-06-13,5986019,2,2023-06,13
250,2023-06-14,3486235,1,2023-06,14
251,2023-06-14,4248595,2,2023-06,14
252,2023-06-14,849024,0,2023-06,14
253,2023-06-15,3533612,1,2023-06,15
254,2023-06-15,4415845,0,2023-06,15
255,2023-06-16,4822677,0,2023-06,16
256,2023-06-16,1532533,2,2023-06,16
257,2023-06-16,3037574,1,2023-06,16
258,2023-06-17,6796685,0,2023-06,17
259,2023-06-17,8137883,2,2023-06,17
260,2023-06-17,6505188,1,2023-06,17
261,2023-06-18,4595206,2,2023-06,18
262,2023-06-18,5413597,1,2023-06,18
263,2023-06-19,14719948,2,2023-06,19
264,2023-06-19,4587175,1,2023-06,19
265,2023-06-19,1738516,0,2023-06,19
266,2023-06-20,2073478,2,2023-06,20
267,2023-06-20,1318573,0,2023-06,20
268,2023-06-20,4764600,1,2023-06,20
269,2023-06-21,2853119,2,2023-06,21
270,2023-06-21,1561617,0,2023-06,21
271,2023-06-21,4609165,1,2023-06,21
272,2023-06-22,4037872,1,2023-06,22
273,2023-06-22,1620176,2,2023-06,22
274,2023-06-23,2706407,1,2023-06,23
275,2023-06-23,1303872,2,2023-06,23
276,2023-06-23,3425273,0,2023-06,23
277,2023-06-24,4763802,1,2023-06,24
278,2023-06-24,71340,2,2023-06,24
279,2023-06-25,1877275,0,2023-06,25
280,2023-06-25,679085,2,2023-06,25
281,2023-06-25,4631119,1,2023-06,25
282,2023-06-26,9785291,0,2023-06,26
283,2023-06-26,727558,1,2023-06,26
284,2023-06-26,204639,2,2023-06,26
285,2023-06-27,3170609,1,2023-06,27
286,2023-06-27,2359269,0,2023-06,27
287,2023-06-28,1191216,0,2023-06,28
288,2023-06-28,1228202,2,2023-06,28
289,2023-06-28,1658426,1,2023-06,28
290,2023-06-29,2761671,2,2023-06,29
291,2023-06-29,1799689,0,2023-06,29
292,2023-06-29,6252501,1,2023-06,29
293,2023-06-30,2544903,1,2023-06,30
294,2023-06-30,39611864,2,2023-06,30
295,2023-06-30,2288055,0,2023-06,30
296,2023-07-01,715507,2,2023-07,1
297,2023-07-01,4910963,1,2023-07,1
298,2023-07-01,6698581,0,2023-07,1
299,2023-07-02,7261633,0,2023-07,2
300,2023-07-02,5841101,2,2023-07,2
301,2023-07-02,5691649,1,2023-07,2
302,2023-07-03,1616095,0,2023-07,3
303,2023-07-03,2847942,1,2023-07,3
304,2023-07-03,20781937,2,2023-07,3
305,2023-07-04,4540,0,2023-07,4
306,2023-07-04,2819121,2,2023-07,4
307,2023-07-04,5819622,1,2023-07,4
308,2023-07-05,4013541,0,2023-07,5
309,2023-07-05,1631067,1,2023-07,5
310,2023-07-05,4264726,2,2023-07,5
311,2023-07-06,1344150,2,2023-07,6
312,2023-07-06,4284553,0,2023-07,6
313,2023-07-06,2072754,1,2023-07,6
314,2023-07-07,5228645,0,2023-07,7
315,2023-07-07,7420902,2,2023-07,7
316,2023-07-07,2797413,1,2023-07,7
317,2023-07-08,13780,0,2023-07,8
318,2023-07-08,3511577,2,2023-07,8
319,2023-07-08,6900837,1,2023-07,8
320,2023-07-09,1234475,0,2023-07,9
321,2023-07-09,6053157,2,2023-07,9
322,2023-07-09,7051962,1,2023-07,9
323,2023-07-10,6263170,2,2023-07,10
324,2023-07-10,1947322,1,2023-07,10
325,2023-07-10,3485268,0,2023-07,10
326,2023-07-11,10914185,2,2023-07,11
327,2023-07-11,3461985,1,2023-07,11
328,2023-07-11,1058884,0,2023-07,11
329,2023-07-12,1280401,0,2023-07,12
330,2023-07-12,672789,2,2023-07,12
331,2023-07-12,2603627,1,2023-07,12
332,2023-07-13,5476639,0,2023-07,13
333,2023-07-13,5391870,2,2023-07,13
334,2023-07-13,3430581,1,2023-07,13
335,2023-07-14,5804909,2,2023-07,14
336,2023-07-14,1964715,1,2023-07,14
337,2023-07-14,3913510,0,2023-07,14
338,2023-07-15,5290466,0,2023-07,15
339,2023-07-15,5030424,1,2023-07,15
340,2023-07-15,6581677,2,2023-07,15
341,2023-07-16,1850289,1,2023-07,16
342,2023-07-16,5035797,0,2023-07,16
343,2023-07-17,4927728,2,2023-07,17
