,pew_religimp,pew_churatd,sex,educ,nonwhite,age,faminc_new,pid3,ideo5,QueerPhobia,ImmiPhobia,InterGBiasParty,InterGBiasCand,InterGBiasSup,LibMediaUse,ConMediaUse,Real_Threat,Symb_Threat,Evaluation,teamweight,caseid
356,4,5,1,2,1,55,7,2,3,3.33333333333333,4.5,98,52,100,1.0,2.0,5.0,5.0,2,1.40623566948165,1241751297
357,2,7,2,2,2,24,1,3,4,1.66666666666667,2.0,2,27,-29,1.0,2.0,3.25,3.0,3,2.94817499727164,1241781033
358,1,2,2,5,1,27,5,3,3,2.66666666666667,2.0,-2,-40,-22,1.66666666666667,1.66666666666667,3.0,3.0,0,0.46811682364225,1241788429
359,4,6,2,5,1,28,8,3,1,1.0,1.0,-59,-52,-49,3.0,1.33333333333333,3.5,5.0,0,0.492619506186913,1241805055
360,4,6,1,3,1,20,5,1,1,1.0,1.0,-65,-52,-82,2.66666666666667,1.66666666666667,4.5,4.85714285714286,0,1.02718369464679,1241806265
361,3,5,1,1,1,92,5,3,4,4.33333333333333,4.5,41,65,29,1.66666666666667,4.33333333333333,4.25,4.14285714285714,2,1.73385095409516,1241813541
362,4,6,1,3,1,25,4,3,2,1.0,1.0,-65,-60,-65,1.66666666666667,1.33333333333333,5.0,5.0,0,1.02718369464679,1241976531
363,2,4,2,3,2,28,8,1,6,2.0,1.5,-75,-68,-84,1.0,1.0,2.25,4.85714285714286,0,0.769341741494712,1242048283
364,3,5,2,4,2,48,4,1,3,4.33333333333333,1.0,-9,-30,-31,2.33333333333333,2.0,3.75,2.85714285714286,0,0.815395494521315,1242115369
365,1,2,1,2,1,44,4,2,4,2.66666666666667,3.5,66,39,41,1.33333333333333,1.33333333333333,3.0,3.42857142857143,2,1.27432971487822,1242207757
366,1,6,2,2,1,52,3,3,6,3.0,2.0,-6,13,1,1.0,1.0,3.0,3.0,1,0.509950488059943,1242208095
367,3,5,2,2,1,52,9,2,4,3.0,3.0,64,58,51,1.0,1.0,4.0,4.0,1,0.704586122094288,1242250449
368,4,5,1,5,2,55,97,3,3,1.66666666666667,1.0,-50,-85,-41,4.33333333333333,3.33333333333333,3.0,3.85714285714286,0,0.302331134020441,1242261121
369,2,3,2,2,1,73,97,1,3,1.66666666666667,1.5,-81,-99,-99,3.0,1.66666666666667,5.0,4.42857142857143,0,0.764376193468287,1242273935
370,1,4,2,2,2,61,2,1,4,3.33333333333333,3.0,-87,-92,-90,3.66666666666667,1.0,4.5,4.0,0,1.16127641026703,1242274275
371,2,4,2,6,2,47,10,1,3,2.66666666666667,3.0,40,-66,-91,1.0,1.0,2.25,3.57142857142857,0,0.969603713081164,1242306591
372,1,4,1,4,1,35,9,1,2,1.33333333333333,4.5,5,-4,-11,5.0,4.66666666666667,4.25,4.42857142857143,0,1.2427188014491,1242333587
373,1,1,1,3,1,66,2,3,4,3.66666666666667,2.0,-35,-74,-74,1.0,1.33333333333333,2.25,3.0,0,1.3346991051632,1242335125
374,1,1,2,4,1,72,2,3,3,3.66666666666667,3.0,46,36,71,3.0,3.0,2.0,3.42857142857143,1,1.52396906766023,1242388095
375,4,6,1,6,1,47,7,1,1,1.0,1.5,-49,-86,-79,1.66666666666667,1.33333333333333,5.0,5.0,0,0.725681602642071,1242391261
376,2,1,2,3,2,58,2,1,2,1.33333333333333,1.0,-99,-99,-100,5.33333333333333,2.0,4.75,4.0,0,0.58445750332965,1242411855
377,4,5,2,5,1,51,11,3,2,1.33333333333333,2.0,-100,-99,-99,4.33333333333333,1.0,5.0,4.85714285714286,0,0.852380503966956,1242412349
378,4,6,1,6,1,60,12,1,1,1.33333333333333,1.0,-59,-65,-80,5.0,1.0,5.0,4.71428571428571,0,0.725681602642071,1242412953
379,2,6,2,2,1,80,3,2,4,2.66666666666667,3.0,84,81,92,1.0,2.33333333333333,5.0,4.57142857142857,2,1.06641411116284,1242421151
380,2,5,1,5,1,70,9,3,3,4.33333333333333,3.0,71,91,90,2.33333333333333,3.0,1.0,1.14285714285714,2,0.954665491423916,1242428777
381,3,5,1,6,1,66,12,1,3,1.0,1.5,-32,-57,-55,1.66666666666667,1.0,3.5,4.85714285714286,0,0.519197675282533,1242428941
382,2,4,1,6,1,81,7,3,3,1.66666666666667,1.0,-82,-97,-96,4.33333333333333,1.33333333333333,4.25,5.0,0,1.1387164024224,1242428993
383,3,4,2,3,1,56,5,2,3,2.66666666666667,2.5,31,31,7,1.66666666666667,1.66666666666667,3.25,3.0,1,1.21873066796847,1242430017
384,1,3,1,5,1,55,10,1,3,2.33333333333333,1.0,50,70,27,6.0,5.66666666666667,1.0,2.85714285714286,2,1.01979882655562,1242430169
385,1,3,1,5,1,55,10,1,3,2.33333333333333,1.0,50,70,27,6.0,5.66666666666667,1.0,2.85714285714286,2,1.01979882655562,1242430169
386,1,2,2,5,1,60,2,1,4,1.66666666666667,1.0,-97,-98,-100,4.33333333333333,4.33333333333333,5.0,5.0,0,0.852380503966956,1242430409
387,2,3,2,5,1,48,7,3,2,1.33333333333333,1.0,-56,-77,-51,4.0,3.33333333333333,5.0,4.71428571428571,0,0.852380503966956,1242431321
388,4,6,2,6,1,45,13,1,1,1.0,1.0,-60,-61,-75,2.66666666666667,1.66666666666667,4.5,5.0,0,0.883661908865727,1242431515
389,1,4,1,6,2,65,9,3,4,4.66666666666667,4.5,63,99,100,1.0,3.33333333333333,5.0,4.85714285714286,2,0.366597694485517,1242431923
390,4,5,2,6,1,67,10,3,2,2.0,2.5,-59,-85,-73,4.33333333333333,2.0,4.0,3.42857142857143,0,1.15400474474816,1242432005
391,3,6,1,5,1,63,6,3,4,3.33333333333333,3.0,69,100,52,1.66666666666667,5.33333333333333,3.5,4.0,2,1.01979882655562,1242452831
392,4,6,2,6,1,70,97,1,1,1.0,1.0,-96,-100,-95,4.66666666666667,1.66666666666667,5.0,4.71428571428571,0,1.15400474474816,1242452911
393,4,6,1,3,1,52,3,3,2,2.0,1.5,-53,-67,-67,3.0,2.66666666666667,3.75,4.0,0,0.684665922831909,1242454629
394,1,4,2,4,1,48,5,1,4,3.66666666666667,1.0,-87,-99,-97,2.33333333333333,3.0,2.25,3.57142857142857,0,1.21899510444004,1242455827
395,2,5,1,3,1,64,10,2,4,4.0,4.5,50,100,100,1.0,2.66666666666667,4.5,4.85714285714286,2,1.07383031232214,1242499635
396,4,6,2,5,1,54,9,1,3,1.0,1.5,-88,-99,-98,4.0,1.0,3.5,4.42857142857143,0,0.852380503966956,1242500387
397,4,4,2,6,1,37,3,1,1,1.0,1.5,-55,-60,-70,2.66666666666667,2.0,3.5,4.14285714285714,0,0.855742920956741,1242525571
398,4,6,2,3,1,58,2,3,3,2.0,2.5,-39,-67,-37,4.0,1.66666666666667,1.75,2.14285714285714,0,0.873552496252135,1242529769
399,4,6,1,5,1,41,10,1,2,2.0,1.0,-77,-85,-87,4.33333333333333,3.66666666666667,4.5,4.71428571428571,0,0.809208479152677,1242530527
